Superficie implantada en las explotaciones agropecuarias por grupo de cultivos, según período de ocupación y provincia, en hectáreas.;;;;;;;;;;;;;;;;
Fuente: INDEC. Censo Nacional Agropecuario 2018. Resultados definitivos;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CODIGO;PROVINCIA;PERIODO DE OCUPACION;TOTAL;GRUPO DE CULTIVOS CEREALES;GRUPO DE CULTIVOS OLEAGINOSAS;GRUPO DE CULTIVOS CULTIVOS INDUSTRIALES;GRUPO DE CULTIVOS LEGUMBRES;GRUPO DE CULTIVOS FORRAJERAS ANUALES;GRUPO DE CULTIVOS FORRAJERAS PERENNES;GRUPO DE CULTIVOS ORTALIZAS;GRUPO DE CULTIVOS FLORES DE CORTE;GRUPO DE CULTIVOS AROMATICAS MEDICINALES Y CONDIMENTARIAS;GRUPO DE CULTIVOS FRUTALES;GRUPO DE CULTIVOS BOSQUES Y MONTES IMPLANTADOS;GRUPO DE CULTIVOS VIVEROS;GRUPO DE CULTIVOS SIN DISCRIMINAR
42;La Pampa;Primera Ocupacion;1.671.129,90;428.775,50;344.215,10;'-;74;529.433,50;360.664,90;1.4;'-;0.75;110,8;89;'-;7.765,00
42;La Pampa;Segunda Ocupacion;70.992,40;14.197,50;19.911,00;'-;'-;33.126,90;3.757,00;'-;'-;'-;'-;'-;'-;0
46;La Rioja;Total;51.149,20;555,1;0;2.602,70;101,7;305,2;9.171,50;906,9;0.25;2.63;36.620,90;706,3;22,2;153,5
46;La Rioja;Primera Ocupacion;50.395,60;436,9;'-;2.602,70;101,7;250,6;9.135,30;897,4;0.25;2.63;36.085,90;706,3;22,2;153,5
46;La Rioja;Segunda Ocupacion;753,6;118,2;'-;'-;'-;54,6;36,2;9,4;'-;'-;535;'-;'-;0
50;Mendoza;Total;267.132,20;2.435,50;167;108,1;21,5;4.733,00;28.949,70;32.638,10;106,3;1.050,00;190.841,30;4.119,50;321;1.640,70
50;Mendoza;Primera Ocupacion;264.955,50;2.267,70;167;107,6;21,5;4.259,40;28.832,20;32.502,80;105,7;1.040,70;189.598,60;4.092,90;320,5;1.638,20
50;Mendoza;Segunda Ocupacion;2.176,70;167,8;'-;0.5;'-;473,6;117,5;135,2;0.55;9,3;1.242,60;26,6;0.5;2,5
54;Misiones;Total;631.712,90;25.434,60;1.914,60;194.535,10;1.009,90;3.501,00;41.727,20;1.621,50;6,7;1.091,10;4.363,60;355.084,90;49,6;1.372,40
54;Misiones;Primera Ocupacion;610.760,30;17.291,70;1.721,30;191.456,20;895,8;3.077,80;36.601,20;1.544,70;6,7;1.084,10;4.157,40;351.536,30;49,6;1.336,90
54;Misiones;Segunda Ocupacion;20.952,60;8.142,80;193,3;3.078,90;114;423,2;5.126,00;76,7;'-;7;206,2;3.548,50;'-;35,5
58;Neuquén;Total;64.921,00;170;0;2,2;2.15;301,5;8.265,70;537,6;0.41;5,6;7.478,40;47.561,70;9,6;585,6
58;Neuquén;Primera Ocupacion;63.515,60;164;'-;2,2;2.15;272;7.468,20;536,6;0.41;2,6;7.344,20;47.141,70;9,6;571,6
58;Neuquén;Segunda Ocupacion;1.405,30;6;'-;'-;'-;29,5;797,5;1.02;'-;3;134,2;420;'-;14
62;Río Negro;Total;99.436,40;9.096,20;344,5;76,7;1.021;14.826,40;28.981,70;3.891,50;0.1;47,8;36.318,60;4.990,30;101,7;759,6
62;Río Negro;Primera Ocupacion;96.988,80;8.116,40;344,5;76,7;1.021;14.430,50;28.429,90;3.887,30;0.1;47,6;36.303,40;4.490,30;101,2;759,6
62;Río Negro;Segunda Ocupacion;2.447,60;979,8;'-;'-;'-;395,9;551,7;4,2;'-;0.15;15,2;500;0.5;0
66;Salta;Total;1.020.315,90;272.176,60;288.261,40;66.462,00;197.690,30;40.005,10;116.380,20;8.469,50;0.3;3.429,80;10.294,40;4.363,10;13.90;12.768,90
66;Salta;Primera Ocupacion;945.395,60;242.305,70;255.990,10;66.299,90;189.566,20;38.837,80;113.365,20;8.368,10;0.3;3.357,10;10.248,80;4.360,10;13.90;12.681,90
