"ano_edicion","provincia","grupo_hortalizas_ha","grupo_frutales_ha","hort_x_habitantes","frut_x_habitantes","hort_x_10mil_habitantes","frut_x_10mil_habitantes","porcentaje_hogares_nbi","num_habitantes"
"2018","Corrientes",2763.2,20474.9,0.00255696776492035,0.0189467498877995,25.5696776492035,189.467498877995,15.0965096696378,1080655
"2018","Entre Ríos",442.2,33877.7,NA,NA,NA,NA,8.04833640345382,NA
"2018","Formosa",4196.9,2288.4,0.0071789248974537,0.00391437769194717,71.789248974537,39.1437769194717,19.7308681924121,584614
"2018","Jujuy",4588.8,6603.1,0.00623019461211988,0.00896500131696495,62.3019461211988,89.6500131696495,15.46297886961,736542
"2018","La Pampa",14,110.8,4.04401038732954e-05,0.000320054536368652,0.404401038732954,3.20054536368652,3.78828686591006,346191
"2018","La Rioja",906.9,36620.9,0.00243215627589647,0.0982112159708645,24.3215627589647,982.112159708645,12.2406778488864,372879
"2018","Mendoza",32638.1,190841.3,0.0171144886460466,0.100071734017813,171.144886460466,1000.71734017813,7.61295042245893,1907045
"2018","Misiones",1621.5,4363.6,0.00134655724799075,0.00362370472237585,13.4655724799075,36.2370472237585,15.6479717976056,1204182
"2018","Neuquén",537.6,7478.4,NA,NA,NA,NA,10.3565275172442,NA
"2018","Río Negro",3891.5,36318.6,NA,NA,NA,NA,9.424717228361,NA
"2018","Salta",8469.5,10294.4,0.00626498840871736,0.0076148883257217,62.6498840871736,76.148883257217,19.4139976116934,1351878
"2018","San Juan",5112.8,50684.2,0.00683997602637099,0.0678060383578064,68.3997602637099,678.060383578064,10.2424430583387,747488
"2018","San Luis",1930.1,348.9,0.00399775474527544,0.000722665473616186,39.9775474527544,7.22665473616186,7.87806684420353,482796
"2018","Santa Cruz",9,225.6,2.73141951872388e-05,0.000684675826026786,0.273141951872388,6.84675826026786,8.22201770257714,329499
"2018","Santa Fe",5349.9,501.7,0.00156171547872875,0.000146453701130528,15.6171547872875,1.46453701130528,6.43440905587838,3425656
"2018","Santiago del Estero",6816.9,377.2,0.00726663959092174,0.000402085471944092,72.6663959092174,4.02085471944092,17.6245843366586,938109
"2018","Tierra del Fuego",6.5,61,4.15311579525778e-05,0.000389753943862653,0.415311579525778,3.89753943862653,14.2422445836328,156509
"2018","Tucumán",6402.2,52852.6,NA,NA,NA,NA,13.2803130206383,NA
