ano_edicion,provincia,cumple_no_cumple_fy_v,genero,edad,rango_edad,nivel_de_instruccion,quintil_ingresos,indice_nbi_hogar_dic,promedio_fyv_dia,region,eap_frutihorticola_ter,grupo_hortalizas_ha,grupo_frutales_ha,hort_x_habitantes,frut_x_habitantes,hort_x_10mil_habitantes,frut_x_10mil_habitantes,porcentaje_hogares_nbi,num_habitantes
2009,Mendoza,0,Mujer,19,1,Secundario,1,0,2,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Mendoza,1,Mujer,57,4,Secundario,5,0,4,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Jujuy,0,Varon,48,3,Terc/Univ,4,0,1.71428571428571,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Jujuy,1,Varon,57,4,Primario,1,0,3.14285714285714,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Jujuy,0,Mujer,45,3,Primario,1,0,1.85714285714286,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Rio Negro,0,Mujer,34,2,Terc/Univ,5,0,1.71428571428571,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mendoza,0,Varon,46,3,Secundario,1,0,0.142857142857143,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Salta,1,Varon,28,2,Secundario,2,0,3.42857142857143,3,Alto,7539.1,16031.4,0.0062682030308799895,0.013328921233204158,62.682030308799895,133.2892123320416,19.41399761169336,1202753
2009,Chubut,0,Mujer,73,5,Terc/Univ,4,0,0.857142857142857,6,Bajo,437.7,605.1,9.606963896516076e-4,0.0013281183124930038,9.606963896516076,13.281183124930038,8.44620770395633,455607
2009,Misiones,0,Mujer,48,3,Primario,3,0,2.42857142857143,4,Medio,8415.6,6157,0.007927354251641407,0.0057997908797181585,79.27354251641407,57.99790879718159,15.64797179760557,1061590
2009,Salta,0,Varon,45,3,Secundario,2,0,1.28571428571429,3,Alto,7539.1,16031.4,0.0062682030308799895,0.013328921233204158,62.682030308799895,133.2892123320416,19.41399761169336,1202753
2009,Catamarca,0,Varon,29,2,Primario,2,0,2,3,Alto,2723.4,30205.6,0.007155318276880393,0.07936060870387691,71.55318276880392,793.6060870387691,11.3450900511453,380612
2009,Santa Fe,0,Mujer,61,4,Secundario,5,0,1.42857142857143,2,Medio,6110.3,651.1,0.00189712675475609,2.0215361439236866e-4,18.9712675475609,2.0215361439236865,6.434409055878381,3220818
2009,San Luis,1,Mujer,24,1,Secundario,1,1,3.71428571428571,5,Bajo,56,307.2,1.3083347935284153e-4,7.177150867355879e-4,1.3083347935284153,7.177150867355879,7.878066844203527,428025
2009,Tucuman,0,Mujer,38,3,Primario,2,0,1.42857142857143,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
